predict_ts,prev_actual_ts,prev_price,pred_price,ratio,used
1757336400000,1757332800000,112034.51000000,112493.12063500,1.004093,1
1757340000000,1757336400000,111906.55000000,110610.80402854,0.988421,0
1757343600000,1757340000000,112645.05000000,112521.82181646,0.998906,0
1757347200000,1757343600000,112631.75000000,113950.12658926,1.011705,1
1757350800000,1757347200000,112398.00000000,112519.02346400,1.001077,1
1757354400000,1757350800000,112214.40000000,112746.63503584,1.004743,1
1757358000000,1757354400000,112477.01000000,113595.43448901,1.009944,1
1757361600000,1757358000000,112097.31000000,112745.97321951,1.005787,1
1757365200000,1757361600000,111958.04000000,113218.25156342,1.011256,1
1757368800000,1757365200000,112326.45000000,111908.13219674,0.996276,0
1757372400000,1757368800000,112236.71000000,113047.86380021,1.007227,1
1757376000000,1757372400000,112065.23000000,112582.88731776,1.004619,1
1757379600000,1757376000000,111650.03000000,112842.66974627,1.010682,1
1757383200000,1757379600000,111364.73000000,111051.77063593,0.997190,0
1757386800000,1757383200000,111330.71000000,112037.25696923,1.006346,1
1757390400000,1757386800000,111708.00000000,111609.51551633,0.999118,0
1757394000000,1757390400000,112024.01000000,113639.98487413,1.014425,1
1757397600000,1757394000000,112200.00000000,113047.97436459,1.007558,1
1757401200000,1757397600000,113022.61000000,112684.07769836,0.997005,0
1757404800000,1757401200000,112991.11000000,112275.24477712,0.993664,0
1757408400000,1757404800000,112992.69000000,114523.16322930,1.013545,1
1757412000000,1757408400000,112966.54000000,113397.23589464,1.003813,1
1757415600000,1757412000000,112732.62000000,112789.20258276,1.000502,0
1757419200000,1757415600000,112433.59000000,110922.98718484,0.986564,0
1757422800000,1757419200000,112671.76000000,112027.39869077,0.994281,0
1757426400000,1757422800000,112760.58000000,111675.59618321,0.990378,0
1757430000000,1757426400000,111767.45000000,112174.19719448,1.003639,1
1757433600000,1757430000000,110880.76000000,111552.59830300,1.006059,1
1757437200000,1757433600000,110975.99000000,111358.48588790,1.003447,1
1757440800000,1757437200000,111025.44000000,112664.38185567,1.014762,1
1757444400000,1757440800000,111131.92000000,112196.40307371,1.009579,1
1757448000000,1757444400000,111301.53000000,111796.52159944,1.004447,1
1757451600000,1757448000000,111530.16000000,112746.84317599,1.010909,1
1757455200000,1757451600000,111299.61000000,111315.42673291,1.000142,0
1757458800000,1757455200000,111556.16000000,111926.23437089,1.003317,1
1757462400000,1757458800000,111546.39000000,113123.34992776,1.014137,1
1757466000000,1757462400000,111010.46000000,112105.48080173,1.009864,1
1757469600000,1757466000000,111005.64000000,114020.99542035,1.027164,1
1757473200000,1757469600000,111411.13000000,112129.81116952,1.006451,1
1757476800000,1757473200000,111545.88000000,112187.21184095,1.005749,1
1757480400000,1757476800000,111520.43000000,113339.15250249,1.016308,1
1757484000000,1757480400000,111577.31000000,112968.97361430,1.012473,1
1757487600000,1757484000000,111792.33000000,112739.97947557,1.008477,1
1757491200000,1757487600000,112553.65000000,112851.45280316,1.002646,1
1757494800000,1757491200000,112370.08000000,113208.71668204,1.007463,1
1757498400000,1757494800000,112274.29000000,112529.78699355,1.002276,1
1757502000000,1757498400000,112270.01000000,112520.24305280,1.002229,1
1757505600000,1757502000000,112299.99000000,113298.73267928,1.008894,1
1757509200000,1757505600000,113413.51000000,112913.42510021,0.995591,0
1757512800000,1757509200000,113952.00000000,113451.54461299,0.995608,0
